COD UF,COD,NOME
11,1100015,Alta Floresta D'oeste
11,1100023,Ariquemes
11,1100031,Cabixi
11,1100049,Cacoal
11,1100056,Cerejeiras
11,1100064,Colorado do Oeste
11,1100072,Corumbiara
11,1100080,Costa Marques
11,1100098,Espigão D'oeste
11,1100106,Guajará-Mirim
11,1100114,Jaru
11,1100122,Ji-Paraná
11,1100130,Machadinho D'oeste
11,1100148,Nova Brasilândia D'oeste
11,1100155,Ouro Preto do Oeste
11,1100189,Pimenta Bueno
11,1100205,Porto Velho
11,1100254,Presidente Médici
11,1100262,Rio Crespo
11,1100288,Rolim de Moura
11,1100296,Santa Luzia D'oeste
11,1100304,Vilhena
11,1100320,São Miguel do Guaporé
11,1100338,Nova Mamoré
11,1100346,Alvorada D'oeste
11,1100379,Alto Alegre dos Parecis
11,1100403,Alto Paraíso
11,1100452,Buritis
11,1100502,Novo Horizonte do Oeste
11,1100601,Cacaulândia
11,1100700,Campo Novo de Rondônia
11,1100809,Candeias do Jamari
11,1100908,Castanheiras
11,1100924,Chupinguaia
11,1100940,Cujubim
11,1101005,Governador Jorge Teixeira
11,1101104,Itapuã do Oeste
11,1101203,Ministro Andreazza
11,1101302,Mirante da Serra
11,1101401,Monte Negro
11,1101435,Nova União
11,1101450,Parecis
11,1101468,Pimenteiras do Oeste
11,1101476,Primavera de Rondônia
11,1101484,São Felipe D'oeste
11,1101492,São Francisco do Guaporé
11,1101500,Seringueiras
11,1101559,Teixeirópolis
11,1101609,Theobroma
11,1101708,Urupá
11,1101757,Vale do Anari
11,1101807,Vale do Paraíso
12,1200013,Acrelândia
12,1200054,Assis Brasil
12,1200104,Brasiléia
12,1200138,Bujari
12,1200179,Capixaba
12,1200203,Cruzeiro do Sul
12,1200252,Epitaciolândia
12,1200302,Feijó
12,1200328,Jordão
12,1200336,Mâncio Lima
12,1200344,Manoel Urbano
12,1200351,Marechal Thaumaturgo
12,1200385,Plácido de Castro
12,1200393,Porto Walter
12,1200401,Rio Branco
12,1200427,Rodrigues Alves
12,1200435,Santa Rosa do Purus
12,1200450,Senador Guiomard
12,1200500,Sena Madureira
12,1200609,Tarauacá
12,1200708,Xapuri
12,1200807,Porto Acre
13,1300029,Alvarães
13,1300060,Amaturá
13,1300086,Anamã
13,1300102,Anori
13,1300144,Apuí
13,1300201,Atalaia do Norte
13,1300300,Autazes
13,1300409,Barcelos
13,1300508,Barreirinha
13,1300607,Benjamin Constant
13,1300631,Beruri
13,1300680,Boa Vista do Ramos
13,1300706,Boca do Acre
13,1300805,Borba
13,1300839,Caapiranga
13,1300904,Canutama
13,1301001,Carauari
13,1301100,Careiro
13,1301159,Careiro da Várzea
13,1301209,Coari
13,1301308,Codajás
13,1301407,Eirunepé
13,1301506,Envira
13,1301605,Fonte Boa
13,1301654,Guajará
13,1301704,Humaitá
13,1301803,Ipixuna
13,1301852,Iranduba
13,1301902,Itacoatiara
13,1301951,Itamarati
13,1302009,Itapiranga
13,1302108,Japurá
13,1302207,Juruá
13,1302306,Jutaí
13,1302405,Lábrea
13,1302504,Manacapuru
13,1302553,Manaquiri
13,1302603,Manaus
13,1302702,Manicoré
13,1302801,Maraã
13,1302900,Maués
13,1303007,Nhamundá
13,1303106,Nova Olinda do Norte
13,1303205,Novo Airão
13,1303304,Novo Aripuanã
13,1303403,Parintins
13,1303502,Pauini
13,1303536,Presidente Figueiredo
13,1303569,Rio Preto da Eva
13,1303601,Santa Isabel do Rio Negro
13,1303700,Santo Antônio do Içá
13,1303809,São Gabriel da Cachoeira
13,1303908,São Paulo de Olivença
13,1303957,São Sebastião do Uatumã
13,1304005,Silves
13,1304062,Tabatinga
13,1304104,Tapauá
13,1304203,Tefé
13,1304237,Tonantins
13,1304260,Uarini
13,1304302,Urucará
13,1304401,Urucurituba
14,1400027,Amajari
14,1400050,Alto Alegre
14,1400100,Boa Vista
14,1400159,Bonfim
14,1400175,Cantá
14,1400209,Caracaraí
14,1400233,Caroebe
14,1400282,Iracema
14,1400308,Mucajaí
14,1400407,Normandia
14,1400456,Pacaraima
14,1400472,Rorainópolis
14,1400506,São João da Baliza
14,1400605,São Luiz
14,1400704,Uiramutã
15,1500107,Abaetetuba
15,1500131,Abel Figueiredo
15,1500206,Acará
15,1500305,Afuá
15,1500347,Água Azul do Norte
15,1500404,Alenquer
15,1500503,Almeirim
15,1500602,Altamira
15,1500701,Anajás
15,1500800,Ananindeua
15,1500859,Anapu
15,1500909,Augusto Corrêa
15,1500958,Aurora do Pará
15,1501006,Aveiro
15,1501105,Bagre
15,1501204,Baião
15,1501253,Bannach
15,1501303,Barcarena
15,1501402,Belém
15,1501451,Belterra
15,1501501,Benevides
15,1501576,Bom Jesus do Tocantins
15,1501600,Bonito
15,1501709,Bragança
15,1501725,Brasil Novo
15,1501758,Brejo Grande do Araguaia
15,1501782,Breu Branco
15,1501808,Breves
15,1501907,Bujaru
15,1501956,Cachoeira do Piriá
15,1502004,Cachoeira do Arari
15,1502103,Cametá
15,1502152,Canaã dos Carajás
15,1502202,Capanema
15,1502301,Capitão Poço
15,1502400,Castanhal
15,1502509,Chaves
15,1502608,Colares
15,1502707,Conceição do Araguaia
15,1502756,Concórdia do Pará
15,1502764,Cumaru do Norte
15,1502772,Curionópolis
15,1502806,Curralinho
15,1502855,Curuá
15,1502905,Curuçá
15,1502939,dom Eliseu
15,1502954,Eldorado do Carajás
15,1503002,Faro
15,1503044,Floresta do Araguaia
15,1503077,Garrafão do Norte
15,1503093,Goianésia do Pará
15,1503101,Gurupá
15,1503200,Igarapé-Açu
15,1503309,Igarapé-Miri
15,1503408,Inhangapi
15,1503457,Ipixuna do Pará
15,1503507,Irituia
15,1503606,Itaituba
15,1503705,Itupiranga
15,1503754,Jacareacanga
15,1503804,Jacundá
15,1503903,Juruti
15,1504000,Limoeiro do Ajuru
15,1504059,Mãe do Rio
15,1504109,Magalhães Barata
15,1504208,Marabá
15,1504307,Maracanã
15,1504406,Marapanim
15,1504422,Marituba
15,1504455,Medicilândia
15,1504505,Melgaço
15,1504604,Mocajuba
15,1504703,Moju
15,1504752,Mojuí dos Campos
15,1504802,Monte Alegre
15,1504901,Muaná
15,1504950,Nova Esperança do Piriá
15,1504976,Nova Ipixuna
15,1505007,Nova Timboteua
15,1505031,Novo Progresso
15,1505064,Novo Repartimento
15,1505106,Óbidos
15,1505205,Oeiras do Pará
15,1505304,Oriximiná
15,1505403,Ourém
15,1505437,Ourilândia do Norte
